招聘标题,公司名称,工作地点,薪资,链接,工作内容
工程资料员,中山德商置业有限公司,中山,10-15万/年,http://jobs.51job.com/zhongshan/97332772.html?s=01&t=0,1、工程资料的收集、整理、立卷、归档、保存工作； 2、施工过程中各种质量保证资料收集、检查、汇总； 3、施工中各种会议的记录、整理、会签、复印、分发等； 4、施工中各种试块、试件的取样、送检、结果回索、上报、分类保管等； 5、各种工程信息的收集、传递、反馈，必要时及时向领导汇报等。 6、领导交办的一些其他工作。岗位要求：1、工民建、工程造价或相关专业本科及以上学历，二年以上相关岗位工作经验。 2、熟悉工程档案管理程序和标准，能熟练操作办公软件。 3、吃苦耐劳，工作仔细，责任心强，身体健康，有较强的沟通和对外协调能力。
亚马逊专员,深圳市途宝科技有限公司,深圳-龙华新区,4.5-6千/月,http://jobs.51job.com/shenzhen-lhxq/99373910.html?s=01&t=0,1、 回复客户邮件，处理客户投诉和争议，维护公司amazon账号安全；2、 负责amazon电子商务网上的售前售后工作，保持店铺的好评率和良好的信用度；3、 处理客户邮件及查询，提供售前售后咨询服务、订单追踪信息；4、 为客户解决在产品使用时遇到的问题；5、 与客户保持邮件沟通，维护与客户的良好关系；6、 店铺综合运营管理 。任职要求：1、 英语类、国际贸易、电子商务类或者市场营销类专业优先；2、 英语四，六级，具有良好的英语读写能力，及会话能力；3、 电脑操作熟练，通晓互连网及办公软件； 我们拒绝什么样的？1. 关心是否有双休者，是否有五险一金者 (本该拼搏的年纪，你却要要过起退休生活吗？基本福利已是标配).2. 混过2-3年跨境电商就狮子大开口，要求底薪9K /10K者，烦请绕道 (公司庙小，奉供不了这尊大神，自信能干出业绩者从不靠底薪而生活).3. 总是喜欢跟以前的公司做比较 (说前公司怎样怎样的)，既然前任千般好的话，为何提分手？我们能给你带来什么？打酱油：3000左右 (随时会被开掉).正常做：5000左右 (可能会被辞退).认真做：10000+ (视为公司骨干).勤奋 肯学 业务能力卓越 忠诚：2万以上 (骨干+年底分红，只要你愿意，可以成为公司的合伙人之一).上班地址：深圳市龙华新区龙观东路展润国际大厦11层1106室诚意者请联系：人事部苏小姐 13530349382
传动工程师-某外资企业,青岛纽森商务有限公司,异地招聘,1-1.5万/月,http://jobs.51job.com/qingdao/99558710.html?s=01&t=0,1、机械设计或相关专业本科及以上学历；  2、三年以上拖拉机、工程机械设备传动系设计经验； 3、熟悉产品开发设计流程，有较强的产品设计能力；4、具备一定的的语言表达及文字写作能力，较好的沟通及协调能力；    8、英语听说读写能力强者优先。 
销售代表,广州伊莲辉机械设备有限公司,广州-番禺区,0.3-1.5万/月,http://jobs.51job.com/guangzhou-pyq/82226163.html?s=01&t=0
上海家化网销+周末双休,中国平安人寿保险股份有限公司重庆...,重庆-江北区,4-8千/月,http://jobs.51job.com/chongqing-jbq/99559782.html?s=01&t=0,1、利用网络进行公司产品的销售及推广；2、负责公司网上贸易平台的操作管理和产品信息的发布；3、了解和搜集网络上各同行及竞争产品的动态信息；4、通过网络进行渠道开发和业务拓展；任职要求：1、专科及以上学历，市场营销等相关专业优先；2、网络销售工作经验优先；3、精通各种网络销售技巧，有网上开店等相关工作经验，熟悉各大门户网站及各网购网站； 我们的福利薪金;底薪3000+提成+全勤+季度奖+生日红包+双休+五险一金晋升机制:试用――正式――主管――经理――总监工作时间：8:30―17:00  周末双休  享受法定节假日
研发（项目）组长,苏州点晶生物科技有限公司,苏州-工业园区,0.7-1.5万/月,http://jobs.51job.com/suzhou-gyyq/98548370.html?s=01&t=0,1、负责季度目标的制定及实施2、负责管理项目的设计、立项、验证、输出等3、负责管理小组内组员的工作，协助组员分析实验流程和总结实验数据4、负责对组员实验中的技术难点提出解决思路和方案5、负责项目组其他日常工作的管理岗位要求：1、有过荧光定量pcr诊断试剂开发经验2、硕士学历者要求有3年以上项目管理经验，或本科学历者要求有5年以上项目管理经验3、有在凯杰、为真、天隆等企业工作经验者优先考虑
市场开发部经理,武汉诚通物流有限公司,武汉-江汉区,0.8-1万/月,http://jobs.51job.com/wuhan-jhq/63692818.html?s=01&t=0,1、组织编制物流业务开发计划，并监督实施；2、组织物流市场调查分析、市场机会开拓和合作伙伴开发；撰写物流市场调查报告；3、负责组织业务开拓、资源开发工作；3、编制与业务开发直接相关的宣传计划；4、参与业务谈判和业务合同的草拟工作；5、做好业务合同的签订、履行与管理工作，监督业务开发人员做好应收账款的催收工作；5、组织对公司客户的服务，与运作部门联络以取得必要的技术支持；6、对下属人员进行业务指导和工作考核。岗位要求：1、市场营销、物流管理或相关专业本科及以上学历；2、5年以上物流行业市场开发工作经验；3、对物流市场开发工作有较深刻认知；有较强的市场感知能力，敏锐地把握市场动态、市场方向的能力；具有较强的市场开拓能力与组织能力；4、熟练操作办公软件；有驾驶执照；5、工作努力，积极进取，良好的沟通、协调、组织能力；高度的工作热情，良好的团队合作精神；较强的观察力和应变能力。
全国销售经理（医院临床品种）,天津太平洋制药有限公司,天津-西青区,2-3万/月,http://jobs.51job.com/tianjin-xqq/99560657.html?s=01&t=0,1、承接并组织完成公司下达的医院临床销售任务。2、承担医院临床开发重点客户的营销管理工作。3、建立和不断优化医院临床销售管理流程及相关操作规程并监督其执行。4、主持策划重点客户竞争方案的形成并定期组织客户工作进度评审。5、及时、准确的提供市场动态竞争信息，带动公司其他部门进行持续工作改进。6、协调公司内部相关部门配合销售工作的有效进行。7、负责本部门的日常管理工作，完成上级布置的其他工作。任职要求：1.本科以上学历，市场营销相关专业。2. 10年以上口服制剂等医药行业的销售管理经验。3.具有医院临床开发的销售的经验及资源。4.具备较强的市场分析、营销、推广能力和良好的人际沟通、协调能力，分析和解决问题的能力；5.有较强的事业心，具备一定的领导能力。
淋膜机机长,东莞市兢业纺织品有限公司,东莞,3-5千/月,http://jobs.51job.com/dongguan/99296563.html?s=01&t=0,1.：有三年以上挤出淋膜复合机组开机操作工作经验，对本机台人员进行生产，安全，质量操作培训，责任心强。2.熟悉挤出复合机组的工作原理及机器结构，能独立解决淋膜过程中遇到的技术问题，懂得机器小故障处理。3.熟悉淋膜产品主材料布，无纺布，铝箔及间接材料EVA、TPR、PE、LDPE、LPE、TPU、PEI、PVC的淋膜生产工艺流程，熟悉淋膜产品品质控制要点。
（急聘）Cocos开发工程师,浙江金瓜信息科技有限公司,杭州-滨江区,1-2.5万/月,http://jobs.51job.com/hangzhou-bjq/95773830.html?s=01&t=0,"岗位职责：1、 负责棋牌游戏功能模块开发岗位要求：1、 精通c++2、 1年以上Cocosd-x开发经验3、 有棋牌游戏开发经验者优先4、 吃苦耐劳，性格温和，无沟通障碍工作地点:杭州滨江区保亿创艺大厦大厦1楼有食堂，4楼有美食广场，办公条件好。门口公交总站，离垃圾街、彩虹城、宝龙广场近，交通便利。						"
